well_number,api,longitude,latitude,well_name,date_stimulated,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume,volume_units,acid_percent,type_treatment,lbs_proppant,max_treatment_pressure,max_treatment_rate,ClosestCity,WellType,WellStatus,OilProduced,GasProduced,Operator,Location,wellname
W22247,33-053-03943,103°37 ' 20.35 W,48°01 ' 30.33 N,MAGNUM 1-36-25H,2013-12-13,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,Williston,Oil & Gas,Active,"1.3 k
Barrels of Oil Produced in Dec 2023","1.7 k
MCF of Gas Produced in Dec 2023","SLAWSON EXPLORATION COMPANY, INC.","McKenzie County, ND",MAGNUM 1-36-25H
W28756,33-053-06057,103° 36' 11.380 W,48° 04 ' 27.510 N,Kline Federal 5300 31-18 6B,2015-07-13,Bakken,11108.0,20592.0,36.0,220489.0,Barrels,,Sand Frac,4243874.0,9096.0,71.0,Williston,Oil & Gas,Active,"54
Barrels of Oil Produced in Dec 2023","171
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",KLINE FEDERAL 5300 31-18 6B
W23367,33-105-02727,103°43'47.971 W,48°06'33.661 N,Atlanta Federal 6-6H,2013-11-21,3 Forks,10858.0,22005.0,37.0,64611.0,Barrels,,Sand Frac,3841831.0,8539.0,24.0,Williston,Oil & Gas,Active,"340
Barrels of Oil Produced in Dec 2023","621
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA FEDERAL 6-6H
W28554,33-053-05995,103° 36' 11.410 W,48° 2' 32.580 N,Wade Federal 5300 31-30 2B,2015-04-08,Bakken,11034.0,20595.0,50.0,215747.0,Barrels,,Sand Frac,9121901.0,8832.0,37.0,Williston,Oil & Gas,Active,"638
Barrels of Oil Produced in Dec 2023","3.1 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",WADE FEDERAL 5300 31-30 2B
W28636,33-053-06021,103° 36' 10.110 W,48° 3' 41.300 N,Chalmers 5300 21-19 8T,2015-04-25,Three Forks,11165.0,20511.0,36.0,96178.0,Barrels,,Sand Frac,4011690.0,9390.0,40.0,Williston,Oil & Gas,Active,"346
Barrels of Oil Produced in Dec 2023","855
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",CHALMERS 5300 21-19 8T
W28342,33-053-05924,103° 36' 18.550 W,48° 3' 20.170 N,Chalmers 5301 44-24 2T,2014-10-31,Three Forks,11043.0,20883.0,36.0,207943.0,Barrels,,Sand Frac,3775876.0,9936.0,73.0,Williston,Oil & Gas,Active,"338
Barrels of Oil Produced in Dec 2023","3.2 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",CHALMERS 5301 44-24 2TR
W23363,33-105-02723,103° 43' 41.710 W,48°06' 33.651 N,Atlanta Federal 10-6H,2014-12-28,3 Forks,10918.0,20517.0,30.0,58554.0,Barrels,,Sand Frac,3483041.0,7877.0,24.0,Williston,Oil & Gas,Active,"358
Barrels of Oil Produced in Dec 2023","642
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA FEDERAL 10-6H
W29316,33-053-06231,103° 36' 10.35 W,48° 01 ' 34.22 N,Gramma Federal 5300 41-3112B,2015-05-26,Bakken,11132.0,20435.0,50.0,168692.0,Barrels,,Sand Frac,9139069.0,9676.0,37.6,Williston,Oil & Gas,Active,"1.1 k
Barrels of Oil Produced in Dec 2023","6.5 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",GRAMMA FEDERAL 5300 41-31 12B
W29317,33-053-06232,103° 36' 10.35 W,48° 01 ' 34.88 N,Gramma Federal 5300 41-31 13T,2015-06-26,Three Forks,11228.0,20545.0,50.0,170334.0,Barrels,,Sand Frac,9246908.0,8985.0,10.4,Williston,Oil & Gas,Active,"809
Barrels of Oil Produced in Dec 2023","4.7 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",GRAMMA FEDERAL 5300 41-31 13T
W23362,33-105-02722,103°43'41.047 W,48°06'33.650 N,Atlanta 11-6H,2014-01-12,Middle Bakken,10896.0,19697.0,29.0,48847.0,Barrels,,Sand Frac,3069436.0,8094.0,30.0,Williston,Oil & Gas,Active,"731
Barrels of Oil Produced in Dec 2023","1.1 k
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA 11-6H
W20864,33-053-03911,103° 36' 43.250 W,348° 4' 57.960 N,BRAY  5301 43-12H,2014-01-12,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,Williston,Oil & Gas,Active,"1.1 k
Barrels of Oil Produced in Dec 2023","598
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",YUKON 5301 41-12T
W28425,33-053-05954,103° 36' 10.82 W,48° 2' 28.650 N,Wade Federal 5300 41-30 6B,2015-04-24,Bakken,10032.0,20425.0,50.0,188339.0,Barrels,,Sand Frac,9170249.0,9033.0,38.0,Williston,Oil & Gas,Active,"430
Barrels of Oil Produced in Dec 2023","1.6 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",WADE FEDERAL 5300 41-30 6B
W28394,33-053-05943,103° 36' 11.41 W,48° 02 ' 32.13 N,Wade Federal 5300 41-30 4T,2015-04-08,Three Forks,11079.0,20187.0,50.0,238848.0,Barrels,,Sand Frac,9362098.0,8608.0,35.0,,,,,,,,
W28633,33-053-06018,103°36'10.11 W,48°03' 42.27 N,Chalmers 5300 21-19 5T,2015-04-25,Three Forks,11140.0,20904.0,36.0,206323.0,Barrels,,Sand Frac,4332421.0,9320.0,72.0,Williston,Oil & Gas,Active,"767
Barrels of Oil Produced in Dec 2023","713
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",CHALMERS 5300 21-19 5T
W28194,33-053-05849,103° 36' 11.180 W,48° 1' 54.480 N,Lewis Federal 5300 21-31 58,2019-07-16,Bakken,11180.0,20791.0,35.0,323544.0,Barrels,,Sand Frac,5990853.0,8995.0,52.0,Williston,Oil & Gas,Active,"1.3 k
Barrels of Oil Produced in Dec 2023","3.1 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",LEWIS FEDERAL 5300 21-31 5B
W23360,33-105-02720,103°43'39.721 W,48°06'33.648 N,Atlanta13-6H,2014-02-05,Middle Bakken,10850.0,19185.0,29.0,47452.0,Barrels,,Sand Frac,3069694.0,7468.0,26.0,Williston,Oil & Gas,Active,"708
Barrels of Oil Produced in Dec 2023","1.1 k
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA 13-6H
W28976,33-053-06129,103° 36' 10.970 W,48° 2' 55.140 N,Wade Federal 5300 21-30 12T,2015-03-16,Three Forks,11078.0,20374.0,50.0,190732.0,Barrels,,Sand Frac,9170590.0,9035.0,43.0,Williston,Oil & Gas,Active,"457
Barrels of Oil Produced in Dec 2023","6.1 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",WADE FEDERAL 5300 21-30 12T
W28744,33-053-06051,103° 33' 43.220 w,48° 2' 27.670 N,WADE FEDERAL 5300 41-30 9B,2015-03-16,Bakken,11552.0,20265.0,50.0,171968.0,Barrels,,Sand Frac,9289252.0,9310.0,37.0,Williston,Oil & Gas,Active,"872
Barrels of Oil Produced in Dec 2023","3.7 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",WADE FEDERAL 5300 41-30 9B
W23361,33-105-02721,103°43'40.384 W,48°06'33.649 N,Atlanta 12-6H,2014-01-12,3 Forks,10895.0,19500.0,29.0,53948.0,Barrels,,Sand Frac,3098438.0,8528.0,30.0,Williston,Oil & Gas,Active,"236
Barrels of Oil Produced in Dec 2023","493
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA 12-6H
W22731,33-053-04069,103° 36' 18.972 W,48° 1' 29.869 N,MAGNUM 3-36-25H,2014-01-12,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,,,,,,,,
W25159,33-053-04855,103°40'11.343W,48°04'31.258N,Columbus Federal 2-16H,2014-02-27,Three Forks,10850.0,23475.0,43.0,85599.0,Barrels,,Sand Frac,3937842.0,8493.0,31.0,Williston,Oil & Gas,Active,"906
Barrels of Oil Produced in Dec 2023","1.6 k
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","McKenzie County, ND",COLUMBUS FEDERAL 2-16H
W20197,33-053-03413,103°  36' 11.540 W,48°  2' 49.420 N,Wade Federal 5300 21-30H,2014-02-27,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,,,,,,,,
W25158,33-053-04854,103°40'11.681W,48°04'30.876N,Tallahassee 2-16H,2014-03-14,Bakken,11080.0,18127.0,24.0,56607.0,Barrels,,Sand Frac,3013084.0,7518.0,30.0,Williston,Oil & Gas,Active,"944
Barrels of Oil Produced in Dec 2023","1.5 k
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","McKenzie County, ND",TALLAHASSEE 2-16H
W90244,33-053-90244,103° 35' 58.470 W,48° 1' 44.700 N,Buck Shot SWD 5300 31-31,2013-07-20,Dakota,5625.0,6150.0,8.0,9000.0,Gallons,100.0,Acid,N/A,N/A,N/A,,,,,,,,
W28654,33-053-06028,103° 36' 11.950 W,48° 4' 7.220 N,Kline Federal 5300 41-18 13T2X,2015-06-09,Three Forks Second Bench,11185.0,20754.0,50.0,126978.0,Barrels,,Sand Frac,4230380.0,9122.0,39.0,,,,,,,,
W36047,33-053-08946,103° 36' 11.190 W,48° 2' 8.330 N,Lewis Federal 5300 11-31 4BR,2015-06-09,N/A,N/A,N/A,N/A,N/A,Barrels,,Sand Frac,N/A,N/A,N/A,Williston,Oil & Gas,Active,"1.8 k
Barrels of Oil Produced in Dec 2023","2.4 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",LEWIS FEDERAL 5300 11-31 4BR
W28655,33-053-06029,103° 36' 11.950 W,48° 4' 6.900 N,Kline Federal 5300 41-18 14BX,2015-06-09,Bakken,11113.0,20645.0,50.0,214895.0,Barrels,,Sand Frac,9543260.0,9411.0,41.0,Williston,Oil & Gas,Active,"1.1 k
Barrels of Oil Produced in Dec 2023","2.5 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",KLINE FEDERAL 5300 41-18 14BX
W28651,33-053-06025,103° 36' 11.960 W,48° 4' 8.530 N,KLINE FEDERAL 5300 41-18 9T,2015-06-26,Three Forks,11150.0,20737.0,50.0,170347.0,Barrels,,Sand Frac,9426950.0,8928.0,37.0,Williston,Oil & Gas,Active,"436
Barrels of Oil Produced in Dec 2023","2.7 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",KLINE FEDERAL 5300 41-18 9T
W28652,33-053-06026,103° 36' 11.950 W,48° 4' 8.200 N,Kline Federal 5300 41-18 10B,2015-06-26,Bakken,11125.0,20460.0,50.0,192526.0,Barrels,,Sand Frac,9254340.0,8844.0,39.0,Williston,Oil & Gas,Active,"118
Barrels of Oil Produced in Dec 2023","436
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",KLINE FEDERAL 5300 41-18 10B
W25160,33-053-04856,103°40'11.004W,48°04'31.639N,Columbus Federal 3-16H,2014-03-02,Bakken,10968.0,23122.0,41.0,74589.0,Barrels,,Sand Frac,3788746.0,7979.0,31.0,Williston,Oil & Gas,Active,"676
Barrels of Oil Produced in Dec 2023","746
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","McKenzie County, ND",COLUMBUS FEDERAL 3-16H
W21266,33-053-03703,103° 38' 9.239 W,48°04'56.376N,DAHL 15-11H,2014-03-02,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,Williston,Oil & Gas,Active,"3.1 k
Barrels of Oil Produced in Dec 2023","2.2 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",DAHL FEDERAL 15-11H
W25571,33-053-04981,103° 36' 28.880 W,048° 4' 57.780 N,Colville 5301 44-12T,2013-09-11,Bakken,N/A,21090.0,36.0,95801.0,Barrels,,Sand Frac,3826701.0,9406.0,36.0,Williston,Oil & Gas,Active,"505
Barrels of Oil Produced in Dec 2023","1.6 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",COLVILLE 5301 44-12T
W90258,33-105-90258,103° 43' 54.570 W,048° 6' 35.990 N,Atlanta #1 SWD,2013-03-01,Dakota,5720.0,5760.0,1.0,6000.0,Gallons,15.0,Acid,N/A,2670.0,6.0,,,,,,,,
W30789,33-053-06755,103° 36' 11.38 W,48° 04' 28.49 N,KLINE FEDERAL 5300 31-18 15T,2013-03-01,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,,,,,,,,
W11745,33-053-02102,103° 36' 11.38 W,48° 05' 47.068 N,BASIC GAME & FISH 34-3,2013-03-01,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,,,,,,,,
W28649,33-053-06024,103° 36' 10.11 W,48° 03 ' 40.32 N,Chalmers 5300 21-19 11B,2015-04-07,Bakken,11065.0,20675.0,36.0,209363.0,Barrels,,Sand Frac,3768710.0,9499.0,75.0,Williston,Oil & Gas,Active,"721
Barrels of Oil Produced in Dec 2023","2.2 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",CHALMERS 5300 21-19 11B
W20407,33-053-03472,103° 33' 43.112 W,48° 3' 26.444 N,Chalmers 5301 31-19H,2015-04-07,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,,,,,,,,
W28648,33-053-06023,103° 38' 10.110 W,48° 3' 40.970 N,CHALMERS 5300 21-19 9B,2015-04-27,Bakken,11080.0,20435.0,36.0,215116.0,Barrels,,Sand Frac,3817790.0,9426.0,75.0,Williston,Oil & Gas,Active,"409
Barrels of Oil Produced in Dec 2023","2.5 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",CHALMERS 5300 21-19 9B
W28658,33-053-06030,103° 36' 11.950 W,48° 4' 7.550 N,Kline Federal 5300 41-18 12T,2015-06-09,Three Forks,11175.0,20579.0,50.0,186063.0,Barrels,,Sand Frac,9450980.0,9405.0,38.0,,,,,,,,
W25156,33-053-04852,103° 40' 12.754 W,48° 4' 29.665 N,Columbus Federal 1-16H,2013-07-07,Bakken,11386.0,21276.0,30.0,48693.0,Barrels,,Sand Frac,2686987.0,7682.0,30.0,Williston,Oil & Gas,Active,"1.7 k
Barrels of Oil Produced in Dec 2023","2 k
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","McKenzie County, ND",COLUMBUS FEDERAL 1-16H
W30188,33-053-06548,103° 36' 11.110 W,48° 2' 8.980 N,Lewis Federal 5300 11-31 3B,2019-06-20,Bakken,11184.0,20797.0,40.0,329963.0,Barrels,,Sand Frac,6006140.0,9015.0,73.0,Williston,Oil & Gas,Active,"1.9 k
Barrels of Oil Produced in Dec 2023","5.7 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",LEWIS FEDERAL 5300 11-31 3B
W30189,33-053-06549,103° 36' 11.060 W,48° 2' 9.300 N,Lewis Federal 5300 11-31 2B,2019-06-20,Bakken,11160.0,20807.0,40.0,305814.0,Barrels,,Sand Frac,6010700.0,9259.0,73.0,Williston,Oil & Gas,Active,"1.5 k
Barrels of Oil Produced in Dec 2023","7.1 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",LEWIS FEDERAL 5300 11-31 2B
W25157,33-053-04853,103°40'12.02 W,48° 04' 30.49 N,Tallahassee 3-16H,2014-03-14,Three Forks,10830.0,18434.0,24.0,64952.0,Barrels,,Sand Frac,2829582.0,8491.0,31.0,Williston,Oil & Gas,Active,"478
Barrels of Oil Produced in Dec 2023","828
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","McKenzie County, ND",TALLAHASSEE 3-16H
W28303,33-053-05906,103° 36' 09.79 W,48° 02 ' 38.97 N,Wade Federal 5300 31-30 11T,2015-03-29,Three Forks,11080.0,20453.0,36.0,123705.0,Barrels,,Sand Frac,3976880.0,8968.0,39.0,Williston,Oil & Gas,Active,"591
Barrels of Oil Produced in Dec 2023","1.9 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",WADE FEDERAL 5300 31-30 11T
W90329,33-053-90329,103° 36' 56.050 W,48° 3' 57.890 N,Carson SWD 5301 12-24,2015-03-29,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,,,,,,,,
W28601,33-053-06012,103° 36' 18.550 W,48° 3' 19.680 N,Chalmers Wade Federal 5301 44-2412TXR,2014-11-25,Three Forks,11418.0,21025.0,36.0,95600.0,Barrels,,Sand Frac,9370930.0,9044.0,37.2,Williston,Oil & Gas,Active,"366
Barrels of Oil Produced in Dec 2023","382
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",CHALMERS WADE FEDERAL 5301 44-24 12TXR
W23230,33-053-04211,103° 36' 9.720 W,48° 4' 47.250 N,ASH FEDERAL  5300 11-18T,2012-10-26,Three Forks,11101.0,20482.0,36.0,92216.0,Barrels,,Sand Frac,3700348.0,9214.0,42.2,Williston,Oil & Gas,Active,"98
Barrels of Oil Produced in Dec 2023","56
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",ASH FEDERAL 5300 11-18T
W29244,33-053-06225,103° 36' 10.190 W,48° 04 ' 45.090 N,Kline Federal 5300 11-18 3T,2015-07-17,Three Forks,11101.0,20835.0,36.0,208220.0,Barrels,,Sand Frac,4183070.0,9386.0,76.0,Williston,Oil & Gas,Active,"579
Barrels of Oil Produced in Dec 2023","1.3 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",KLINE FEDERAL 5300 11-18 3T
W28600,33-053-06011,103° 36' 18.550 W,48° 3' 20.010 N,Chalmers 5301 44-24 4T,2014-11-25,Three Forks,11074.0,20938.0,36.0,98038.0,Barrels,,Sand Frac,6229694.0,8877.0,38.0,,,,,,,,
W28978,33-053-06131,103° 36' 10.970 W,48° 2' 55.790 N,WADE FEDERAL 5300 21-30 13B,2015-03-16,Bakken,11000.0,20535.0,50.0,187400.0,Barrels,,Sand Frac,6583070.0,9040.0,40.0,Williston,Oil & Gas,Active,"586
Barrels of Oil Produced in Dec 2023","2.9 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",WADE FEDERAL 5300 21-30 13B
W29242,33-053-06223,103° 36' 11.380 W,48° 4' 44.790 N,Kline Federal 5300 11-18 5B,2015-07-16,Bakken,110813.0,20891.0,36.0,209044.0,Barrels,,Sand Frac,4192230.0,9205.0,73.0,Williston,Oil & Gas,Active,"501
Barrels of Oil Produced in Dec 2023","601
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",KLINE FEDERAL 5300 11-18 5B
W28599,33-053-06010,103° 36' 18.550 W,48° 3' 20.490 N,Chalmers 5301 44-24 3BR,2014-10-30,Bakken,10910.0,20833.0,36.0,206015.0,Barrels,,Sand Frac,4076819.0,9177.0,75.0,Williston,Oil & Gas,Active,"126
Barrels of Oil Produced in Dec 2023","2 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",CHALMERS 5301 44-24 3BR
W23369,33-105-02729,103°43'51.581 W,48°06'33.667 N,Atlanta 4-6H,2013-11-06,3 Forks,10913.0,20504.0,31.0,51878.0,Barrels,,Sand Frac,3223232.0,8540.0,28.0,Williston,Oil & Gas,Active,"348
Barrels of Oil Produced in Dec 2023","627
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA 4-6H
W29334,33-053-06243,103° 36' 10.190 W,48° 04 ' 45.680 N,Kline Federal 5300 11-18 2B,2015-07-16,Bakken,11024.0,20445.0,36.0,209640.0,Barrels,,Sand Frac,4168220.0,9141.0,73.0,Williston,Oil & Gas,Active,"336
Barrels of Oil Produced in Dec 2023","2.1 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",KLINE FEDERAL 5300 11-18 2B
